ID,diagOnly,meta,metaRate,penalty,initAlpha,initD,wGen,initLambda,finalLambda,tauLambda
301,0,0,0.001,0.001,0.0001,0.001,0.00015,1e-05,0.99,0.05
302,1,0,0.001,0.001,0.0001,0.001,0.00015,1e-05,0.99,0.05
303,0,1,0.001,0.001,0.0001,0.001,0.00015,1e-05,0.99,0.05
304,1,1,0.001,0.001,0.0001,0.001,0.00015,1e-05,0.99,0.05
305,0,0,0.01,0.001,0.0001,0.001,0.00015,1e-05,0.99,0.05
306,1,0,0.01,0.001,0.0001,0.001,0.00015,1e-05,0.99,0.05
307,0,1,0.01,0.001,0.0001,0.001,0.00015,1e-05,0.99,0.05
308,1,1,0.01,0.001,0.0001,0.001,0.00015,1e-05,0.99,0.05
309,0,0,0.1,0.001,0.0001,0.001,0.00015,1e-05,0.99,0.05
310,1,0,0.1,0.001,0.0001,0.001,0.00015,1e-05,0.99,0.05
311,0,1,0.1,0.001,0.0001,0.001,0.00015,1e-05,0.99,0.05
312,1,1,0.1,0.001,0.0001,0.001,0.00015,1e-05,0.99,0.05
313,0,0,0.001,0.0001,0.001,0.001,0.00015,1e-05,0.99,0.05
314,1,0,0.001,0.0001,0.001,0.001,0.00015,1e-05,0.99,0.05
315,0,1,0.001,0.0001,0.001,0.001,0.00015,1e-05,0.99,0.05
316,1,1,0.001,0.0001,0.001,0.001,0.00015,1e-05,0.99,0.05
317,0,0,0.01,0.0001,0.001,0.001,0.00015,1e-05,0.99,0.05
318,1,0,0.01,0.0001,0.001,0.001,0.00015,1e-05,0.99,0.05
319,0,1,0.01,0.0001,0.001,0.001,0.00015,1e-05,0.99,0.05
320,1,1,0.01,0.0001,0.001,0.001,0.00015,1e-05,0.99,0.05
321,0,0,0.1,0.0001,0.001,0.001,0.00015,1e-05,0.99,0.05
322,1,0,0.1,0.0001,0.001,0.001,0.00015,1e-05,0.99,0.05
323,0,1,0.1,0.0001,0.001,0.001,0.00015,1e-05,0.99,0.05
324,1,1,0.1,0.0001,0.001,0.001,0.00015,1e-05,0.99,0.05
325,0,0,0.001,0.001,0.001,0.001,0.00015,1e-05,0.99,0.05
326,1,0,0.001,0.001,0.001,0.001,0.00015,1e-05,0.99,0.05
327,0,1,0.001,0.001,0.001,0.001,0.00015,1e-05,0.99,0.05
328,1,1,0.001,0.001,0.001,0.001,0.00015,1e-05,0.99,0.05
329,0,0,0.01,0.001,0.001,0.001,0.00015,1e-05,0.99,0.05
330,1,0,0.01,0.001,0.001,0.001,0.00015,1e-05,0.99,0.05
